Rank,Name,Country,Sales,Profit,Assets,Market_Value,Link
551,Air Products & Chemicals,United States,$10.94 B,$2.12 B,$27.13 B,$53.86 B,https://www.forbes.com/companies/air-products-chemicals/?list=global2000
551,Newmont Mining,United States,$12.25 B,$1.05 B,$39.91 B,$59.06 B,https://www.forbes.com/companies/newmont-mining/?list=global2000
551,TE Connectivity,Switzerland,$15.22 B,$2.45 B,$21.41 B,$40.01 B,https://www.forbes.com/companies/te-connectivity/?list=global2000
554,Aon,Ireland,$12.19 B,$1.25 B,$31.92 B,$68.81 B,https://www.forbes.com/companies/aon/?list=global2000
555,TELUS,Canada,$13.43 B,$1.32 B,$37.99 B,$36.05 B,https://www.forbes.com/companies/telus/?list=global2000
556,Dollar Tree,United States,$26.32 B,$1.33 B,$21.72 B,$37.7 B,https://www.forbes.com/companies/dollar-tree/?list=global2000
557,KeyCorp,United States,$7.45 B,$2.45 B,$181.22 B,$19.06 B,https://www.forbes.com/companies/keycorp/?list=global2000
558,WTW,United Kingdom,$9.58 B,$4.22 B,$34.97 B,$26.88 B,https://www.forbes.com/companies/wtw/?list=global2000
559,China Zheshang Bank,China,$15.99 B,$1.96 B,$358.9 B,$9 B,https://www.forbes.com/companies/china-zheshang-bank/?list=global2000
559,Wesfarmers,Australia,$25.35 B,$1.65 B,$18.34 B,$40.57 B,https://www.forbes.com/companies/wesfarmers/?list=global2000
561,Suzuki Motor,Japan,$32.56 B,$1.54 B,$34.68 B,$15.39 B,https://www.forbes.com/companies/suzuki-motor/?list=global2000
562,Best Buy,United States,$51.76 B,$2.45 B,$17.5 B,$20.56 B,https://www.forbes.com/companies/best-buy/?list=global2000
562,SVB Financial Group,United States,$6.08 B,$1.81 B,$220.35 B,$31.82 B,https://www.forbes.com/companies/svb-financial-group/?list=global2000
564,Advanced Micro Devices,United States,$16.43 B,$3.16 B,$12.42 B,$142.8 B,https://www.forbes.com/companies/advanced-micro-devices/?list=global2000
565,Markel,United States,$12.84 B,$2.47 B,$39.36 B,$19.89 B,https://www.forbes.com/companies/markel/?list=global2000
566,Muyuan Foodstuff,China,$11.27 B,$2.33 B,$26.18 B,$44.12 B,https://www.forbes.com/companies/muyuan-foodstuff/?list=global2000
567,Kimberly-Clark,United States,$19.79 B,$1.75 B,$18.67 B,$46.67 B,https://www.forbes.com/companies/kimberly-clark/?list=global2000
568,Swedbank,Sweden,$6.75 B,$2.43 B,$303.81 B,$18.56 B,https://www.forbes.com/companies/swedbank/?list=global2000
569,Cognizant,United States,$18.51 B,$2.14 B,$17.85 B,$43.62 B,https://www.forbes.com/companies/cognizant/?list=global2000
570,Corning,United States,$14.07 B,$1.91 B,$30.15 B,$28.58 B,https://www.forbes.com/companies/corning/?list=global2000
571,Infineon Technologies,Germany,$13.7 B,$1.62 B,$27.29 B,$39.15 B,https://www.forbes.com/companies/infineon-technologies/?list=global2000
572,Citizens Financial Group,United States,$6.88 B,$2.13 B,$192.1 B,$20.76 B,https://www.forbes.com/companies/citizens-financial-group/?list=global2000
573,Devon Energy,United States,$13.69 B,$2.78 B,$21.02 B,$38.57 B,https://www.forbes.com/companies/devon-energy/?list=global2000
574,Asahi Group Holdings,Japan,$20.35 B,$1.4 B,$39.49 B,$17.94 B,https://www.forbes.com/companies/asahi-group-holdings/?list=global2000
575,JSW Steel,India,$17.1 B,$2.93 B,$23.01 B,$22.87 B,https://www.forbes.com/companies/jsw-steel/?list=global2000
575,Lumen Technologies,United States,$19.69 B,$2.03 B,$57.99 B,$11.16 B,https://www.forbes.com/companies/lumen-technologies/?list=global2000
577,Regions Financial,United States,$6.63 B,$2.52 B,$162.94 B,$20.03 B,https://www.forbes.com/companies/regions-financial/?list=global2000
578,Svenska Handelsbanken,Sweden,$6.34 B,$2.27 B,$369.65 B,$19.52 B,https://www.forbes.com/companies/svenska-handelsbanken/?list=global2000
579,Raymond James Financial,United States,$10.43 B,$1.53 B,$68.46 B,$21.49 B,https://www.forbes.com/companies/raymond-james-financial/?list=global2000
580,BYD,China,$32.78 B,$469.6 M,$46.55 B,$84.46 B,https://www.forbes.com/companies/byd/?list=global2000
581,Illinois Tool Works,United States,$14.46 B,$2.69 B,$16.08 B,$63.42 B,https://www.forbes.com/companies/illinois-tool-works/?list=global2000
582,Pinduoduo,China,$14.57 B,$1.21 B,$28.43 B,$43.53 B,https://www.forbes.com/companies/pinduoduo/?list=global2000
583,Activision Blizzard,United States,$8.8 B,$2.7 B,$25.06 B,$61.39 B,https://www.forbes.com/companies/activision-blizzard/?list=global2000
584,Liberty Global,United Kingdom,$10.54 B,$13.43 B,$46.92 B,$12.59 B,https://www.forbes.com/companies/liberty-global/?list=global2000
585,Colgate-Palmolive,United States,$17.42 B,$2.17 B,$15.04 B,$68.17 B,https://www.forbes.com/companies/colgate-palmolive/?list=global2000
585,SSE,United Kingdom,$10.33 B,$3.52 B,$31.56 B,$24.88 B,https://www.forbes.com/companies/sse/?list=global2000
587,Nan Ya Plastics,Taiwan,$14.74 B,$2.91 B,$24.17 B,$23.75 B,https://www.forbes.com/companies/nan-ya-plastics/?list=global2000
587,Vivendi,France,$11.31 B,$29.19 B,$37.95 B,$12.95 B,https://www.forbes.com/companies/vivendi/?list=global2000
589,Baxter International,United States,$12.78 B,$1.28 B,$33.52 B,$36.77 B,https://www.forbes.com/companies/baxter-international/?list=global2000
590,Fosun International,China,$25.02 B,$1.57 B,$126.52 B,$8.48 B,https://www.forbes.com/companies/fosun-international/?list=global2000
591,Weichai Power,China,$31.4 B,$1.43 B,$43.47 B,$12.04 B,https://www.forbes.com/companies/weichai-power/?list=global2000
592,Fidelity National Financial,United States,$15.63 B,$2.42 B,$58.13 B,$11.58 B,https://www.forbes.com/companies/fidelity-national-financial/?list=global2000
592,Parker-Hannifin,United States,$15.29 B,$1.82 B,$22.39 B,$35.6 B,https://www.forbes.com/companies/parker-hannifin/?list=global2000
594,Vedanta Limited,India,$16.38 B,$2.63 B,$25.3 B,$20.21 B,https://www.forbes.com/companies/vedanta-limited/?list=global2000
595,Woori Financial Group,South Korea,$11.47 B,$2.2 B,$376.18 B,$9.51 B,https://www.forbes.com/companies/woori-financial-group/?list=global2000
596,Sysco,United States,$60.74 B,$785.5 M,$21.43 B,$45.06 B,https://www.forbes.com/companies/sysco/?list=global2000
597,Telstra,Australia,$15.82 B,$1.09 B,$31.16 B,$34.21 B,https://www.forbes.com/companies/telstra/?list=global2000
598,Credit Suisse Group,Switzerland,$30.07 B,$-1.8 B,$829.54 B,$18.68 B,https://www.forbes.com/companies/credit-suisse-group/?list=global2000
598,Rogers Communications,Canada,$11.79 B,$1.27 B,$44.07 B,$29.24 B,https://www.forbes.com/companies/rogers-communications/?list=global2000
600,M&T Bank,United States,$5.89 B,$1.77 B,$149.86 B,$31.03 B,https://www.forbes.com/companies/mt-bank/?list=global2000
601,Boston Scientific,United States,$11.89 B,$1.04 B,$32.23 B,$62.63 B,https://www.forbes.com/companies/boston-scientific/?list=global2000
602,Edison International,United States,$14.9 B,$781 M,$74.75 B,$27.27 B,https://www.forbes.com/companies/edison-international/?list=global2000
602,Financiere de l'Odet,France,$23.37 B,$3.86 B,$69.03 B,$5.07 B,https://www.forbes.com/companies/financiere-de-lodet/?list=global2000
602,Sumitomo Mitsui Trust,Japan,$10.67 B,$1.43 B,$553.78 B,$11.81 B,https://www.forbes.com/companies/sumitomo-mitsui-trust/?list=global2000
605,Entergy,United States,$11.71 B,$1.12 B,$59.45 B,$25.1 B,https://www.forbes.com/companies/entergy/?list=global2000
605,Swisscom,Switzerland,$12.23 B,$2 B,$27.22 B,$30.25 B,https://www.forbes.com/companies/swisscom/?list=global2000
607,EnBW-Energie Baden,Germany,$38 B,$429.3 M,$98.41 B,$25.8 B,https://www.forbes.com/companies/enbw-energie-baden/?list=global2000
608,Hikvision,China,$12.99 B,$2.64 B,$16.46 B,$59.33 B,https://www.forbes.com/companies/hikvision/?list=global2000
609,Nippon Yusen,Japan,$19.46 B,$7.09 B,$23.65 B,$12.82 B,https://www.forbes.com/companies/nippon-yusen/?list=global2000
610,Stanley Black & Decker,United States,$16.83 B,$1.69 B,$28.18 B,$21.35 B,https://www.forbes.com/companies/stanley-black-decker/?list=global2000
611,Oneok,United States,$17.27 B,$1.5 B,$23.62 B,$30.94 B,https://www.forbes.com/companies/oneok/?list=global2000
612,Marriott International,United States,$13.86 B,$1.1 B,$25.55 B,$58.74 B,https://www.forbes.com/companies/marriott-international/?list=global2000
613,Warner Bros. Discovery,United States,$12.18 B,$1.02 B,$34.43 B,$49.91 B,https://www.forbes.com/companies/warner-bros-discovery/?list=global2000
614,S.F. Holding,China,$32.05 B,$661.9 M,$32.93 B,$36.66 B,https://www.forbes.com/companies/sf-holding/?list=global2000
615,Delta Air Lines,United States,$35.1 B,$516 M,$73.75 B,$28.01 B,https://www.forbes.com/companies/delta-air-lines/?list=global2000
616,Bharat Petroleum,India,$43.2 B,$2.59 B,$25.18 B,$11.16 B,https://www.forbes.com/companies/bharat-petroleum/?list=global2000
617,Halliburton,United States,$16.13 B,$1.55 B,$22.07 B,$33.94 B,https://www.forbes.com/companies/halliburton/?list=global2000
618,Metallurgical Corp of China,China,$77.3 B,$1.3 B,$85.27 B,$5.15 B,https://www.forbes.com/companies/metallurgical-corp-of-china/?list=global2000
619,Northern Trust,United States,$6.57 B,$1.53 B,$183.89 B,$22.08 B,https://www.forbes.com/companies/northern-trust/?list=global2000
620,HeidelbergCement,Germany,$22.13 B,$2.08 B,$39.31 B,$10.91 B,https://www.forbes.com/companies/heidelbergcement/?list=global2000
621,China Steel,Taiwan,$16.77 B,$2.22 B,$24.87 B,$19.81 B,https://www.forbes.com/companies/china-steel/?list=global2000
621,Eversource Energy,United States,$9.86 B,$1.22 B,$48.49 B,$31.72 B,https://www.forbes.com/companies/eversource-energy/?list=global2000
623,Sany Heavy Industry,China,$17.59 B,$2.39 B,$21.14 B,$21.93 B,https://www.forbes.com/companies/sany-heavy-industry/?list=global2000
624,Hermès International,France,$10.62 B,$2.89 B,$15.75 B,$138.97 B,https://www.forbes.com/companies/hermes-international/?list=global2000
625,International Paper,United States,$21.78 B,$1.76 B,$25.24 B,$17.89 B,https://www.forbes.com/companies/international-paper/?list=global2000
626,Koç Holding,Turkey,$38.84 B,$1.7 B,$76.85 B,$6.79 B,https://www.forbes.com/companies/koc-holding/?list=global2000
627,Nidec,Japan,$17.07 B,$1.21 B,$22.16 B,$40.47 B,https://www.forbes.com/companies/nidec/?list=global2000
628,Meituan,China,$27.79 B,$-3.65 B,$37.76 B,$111.43 B,https://www.forbes.com/companies/meituan/?list=global2000
629,Kotak Mahindra Bank,India,$7.92 B,$1.46 B,$41.57 B,$44.83 B,https://www.forbes.com/companies/kotak-mahindra-bank/?list=global2000
630,Teck Resources,Canada,$10.75 B,$2.29 B,$37.5 B,$19.97 B,https://www.forbes.com/companies/teck-resources/?list=global2000
631,Southwest Airlines,United States,$15.79 B,$978 M,$38.17 B,$27.77 B,https://www.forbes.com/companies/southwest-airlines/?list=global2000
632,Deutsche Boerse,Germany,$5.26 B,$1.43 B,$253.75 B,$32.23 B,https://www.forbes.com/companies/deutsche-boerse/?list=global2000
633,Labcorp,United States,$16.12 B,$2.38 B,$20.39 B,$25.02 B,https://www.forbes.com/companies/labcorp/?list=global2000
634,China Tower Corp.,China,$13.43 B,$1.14 B,$50.21 B,$20.28 B,https://www.forbes.com/companies/china-tower/?list=global2000
635,Inpex,Japan,$11.32 B,$2.03 B,$44.79 B,$17.11 B,https://www.forbes.com/companies/inpex/?list=global2000
636,Coca-Cola European Partners,United Kingdom,$16.24 B,$1.15 B,$33.08 B,$23.43 B,https://www.forbes.com/companies/coca-cola-european-partners/?list=global2000
637,Wuliangye Yibin,China,$8.48 B,$3.49 B,$18.3 B,$98.98 B,https://www.forbes.com/companies/wuliangye-yibin/?list=global2000
638,Shimao Property Holdings,Hong Kong,$21.82 B,$2.06 B,$96.97 B,$2.14 B,https://www.forbes.com/companies/shimao-property-holdings/?list=global2000
639,Idemitsu Kosan,Japan,$54.54 B,$2.21 B,$38.99 B,$7.97 B,https://www.forbes.com/companies/idemitsu-kosan/?list=global2000
640,Formosa Petrochemical,Taiwan,$22.2 B,$1.77 B,$16.58 B,$29.96 B,https://www.forbes.com/companies/formosa-petrochemical/?list=global2000
641,Crown Castle International,United States,$6.6 B,$1.46 B,$39.07 B,$84.07 B,https://www.forbes.com/companies/crown-castle-international/?list=global2000
642,FirstEnergy,United States,$11.41 B,$1.19 B,$44.62 B,$26.27 B,https://www.forbes.com/companies/firstenergy/?list=global2000
643,Rongsheng Petrochemical,China,$27.22 B,$656.7 M,$52.18 B,$21.52 B,https://www.forbes.com/companies/rongsheng-petrochemical/?list=global2000
644,Hindalco Industries,India,$24.33 B,$1.6 B,$27.45 B,$15.11 B,https://www.forbes.com/companies/hindalco-industries/?list=global2000
645,Bank Of Hangzhou,China,$8.7 B,$1.44 B,$218.42 B,$13.96 B,https://www.forbes.com/companies/bank-of-hangzhou/?list=global2000
645,Renault,France,$54.62 B,$1.05 B,$129.34 B,$7.28 B,https://www.forbes.com/companies/renault/?list=global2000
647,International Holding Company,United Arab Emirates,$7.75 B,$2 B,$24.23 B,$108.6 B,https://www.forbes.com/companies/international-holding-company/?list=global2000
648,Cincinnati Financial,United States,$9.63 B,$2.95 B,$31.02 B,$21.93 B,https://www.forbes.com/companies/cincinnati-financial/?list=global2000
649,Mitsubishi Estate,Japan,$12.14 B,$1.22 B,$55.32 B,$19.04 B,https://www.forbes.com/companies/mitsubishi-estate/?list=global2000
650,Cleveland-Cliffs,United States,$22.35 B,$3.75 B,$19.77 B,$15.18 B,https://www.forbes.com/companies/cleveland-cliffs/?list=global2000
651,Grupo ACS,Spain,$32.9 B,$3.6 B,$41.06 B,$7.03 B,https://www.forbes.com/companies/grupo-acs/?list=global2000
652,CGN Power,China,$12.47 B,$1.59 B,$63.56 B,$13.58 B,https://www.forbes.com/companies/cgn-power/?list=global2000
653,ASE Technology Holding,Taiwan,$21.31 B,$2.29 B,$24.32 B,$14.5 B,https://www.forbes.com/companies/ase-technology-holding/?list=global2000
654,JFE Holdings,Japan,$36.46 B,$2.47 B,$45.34 B,$7.25 B,https://www.forbes.com/companies/jfe-holdings/?list=global2000
655,DTE Energy,United States,$15.46 B,$905 M,$39.72 B,$26.51 B,https://www.forbes.com/companies/dte-energy/?list=global2000
656,China Hongqiao Group,China,$17.76 B,$2.49 B,$29.56 B,$12.76 B,https://www.forbes.com/companies/china-hongqiao-group/?list=global2000
657,NXP Semiconductors,Netherlands,$11.06 B,$1.87 B,$21.25 B,$44.83 B,https://www.forbes.com/companies/nxp-semiconductors/?list=global2000
658,Western Digital,United States,$18.94 B,$1.99 B,$26.02 B,$15.48 B,https://www.forbes.com/companies/western-digital/?list=global2000
659,Booking Holdings,United States,$10.96 B,$1.17 B,$23.64 B,$90.52 B,https://www.forbes.com/companies/booking/?list=global2000
660,Aeon,Japan,$78.17 B,$58.3 M,$101 B,$16.11 B,https://www.forbes.com/companies/aeon/?list=global2000
661,First Republic Bank,United States,$5.53 B,$1.54 B,$187.12 B,$28.21 B,https://www.forbes.com/companies/first-republic-bank/?list=global2000
662,Lufax Holding,China,$9.67 B,$2.6 B,$56.55 B,$13.52 B,https://www.forbes.com/companies/lufax-holding/?list=global2000
663,Atlas Copco,Sweden,$12.92 B,$2.11 B,$15.1 B,$61.42 B,https://www.forbes.com/companies/atlas-copco/?list=global2000
664,Fidelity National Information (FIS),United States,$13.88 B,$417 M,$82.93 B,$61.05 B,https://www.forbes.com/companies/fidelity-national-information-fis/?list=global2000
665,Mitsubishi Chemical,Japan,$34.61 B,$1.48 B,$47.4 B,$8.74 B,https://www.forbes.com/companies/mitsubishi-chemical/?list=global2000
666,Edp-energias De Portugal,Portugal,$17.86 B,$776 M,$57.99 B,$19.63 B,https://www.forbes.com/companies/edp-energias-de-portugal/?list=global2000
666,Kyocera,Japan,$16.22 B,$1.33 B,$31.04 B,$19.16 B,https://www.forbes.com/companies/kyocera/?list=global2000
668,Xiamen C&D,China,$109.61 B,$945.5 M,$94.53 B,$6.02 B,https://www.forbes.com/companies/xiamen-cd/?list=global2000
669,AutoZone,United States,$15.6 B,$2.41 B,$14.08 B,$42.88 B,https://www.forbes.com/companies/autozone/?list=global2000
670,China Taiping Insurance,Hong Kong,$40.91 B,$966.7 M,$174.92 B,$4.36 B,https://www.forbes.com/companies/china-taiping-insurance/?list=global2000
671,Cenovus Energy,Canada,$36.98 B,$468.2 M,$43.43 B,$34.25 B,https://www.forbes.com/companies/cenovus-energy/?list=global2000
671,Neste,Finland,$17.91 B,$2.09 B,$14.19 B,$36.31 B,https://www.forbes.com/companies/neste/?list=global2000
673,Porsche Automobil Holding,Germany,$151 M,$5.4 B,$47.83 B,$27.21 B,https://www.forbes.com/companies/porsche-automobil-holding/?list=global2000
674,H&M - Hennes & Mauritz,Sweden,$23.85 B,$1.41 B,$19.63 B,$22.04 B,https://www.forbes.com/companies/hm-hennes-mauritz/?list=global2000
675,RELX,United Kingdom,$9.96 B,$2.02 B,$18.77 B,$59.18 B,https://www.forbes.com/companies/relx/?list=global2000
676,PG&E,United States,$20.64 B,$-88 M,$111.75 B,$24.11 B,https://www.forbes.com/companies/pge/?list=global2000
677,Republic Services,United States,$11.3 B,$1.29 B,$24.95 B,$41.81 B,https://www.forbes.com/companies/republic-services/?list=global2000
678,Ross Stores,United States,$18.92 B,$1.72 B,$14.62 B,$36.35 B,https://www.forbes.com/companies/ross-stores/?list=global2000
679,WEC Energy Group,United States,$8.32 B,$1.3 B,$39.87 B,$32.8 B,https://www.forbes.com/companies/wec-energy-group/?list=global2000
680,Cardinal Health,United States,$171.29 B,$555 M,$43.68 B,$17.06 B,https://www.forbes.com/companies/cardinal-health/?list=global2000
681,CarMax,United States,$31.9 B,$1.15 B,$26.67 B,$14.61 B,https://www.forbes.com/companies/carmax/?list=global2000
681,China Development Financial,Taiwan,$12.76 B,$1.25 B,$125.01 B,$10.52 B,https://www.forbes.com/companies/china-development-financial/?list=global2000
683,Riyad Bank,Saudi Arabia,$3.23 B,$1.61 B,$86.76 B,$31.76 B,https://www.forbes.com/companies/riyad-bank/?list=global2000
684,Thomson Reuters,United States,$6.35 B,$5.71 B,$22.15 B,$49.81 B,https://www.forbes.com/companies/thomson-reuters/?list=global2000
684,Transneft,Russia,$14.11 B,$2.36 B,$46.08 B,$10.13 B,https://www.forbes.com/companies/transneft/?list=global2000
686,Ferguson,United Kingdom,$22.74 B,$1.86 B,$14.1 B,$29.61 B,https://www.forbes.com/companies/ferguson/?list=global2000
686,IQVIA,United States,$13.87 B,$966 M,$24.69 B,$43.56 B,https://www.forbes.com/companies/iqvia/?list=global2000
688,Hong Kong Exchanges,Hong Kong,$2.69 B,$1.61 B,$51.22 B,$54.13 B,https://www.forbes.com/companies/hong-kong-exchanges/?list=global2000
689,PPG,United States,$17.23 B,$1.08 B,$21.89 B,$31.37 B,https://www.forbes.com/companies/ppg/?list=global2000
690,Legend Holding,China,$75.97 B,$889.8 M,$106.8 B,$2.81 B,https://www.forbes.com/companies/legend-holding/?list=global2000
691,Ecolab,United States,$12.73 B,$1.13 B,$21.21 B,$50.16 B,https://www.forbes.com/companies/ecolab/?list=global2000
691,Sinopharm Group,China,$80.8 B,$1.2 B,$52.63 B,$6.77 B,https://www.forbes.com/companies/sinopharm-group/?list=global2000
693,Luxshare Precision Industry,China,$23.87 B,$1.03 B,$18.25 B,$31.7 B,https://www.forbes.com/companies/luxshare-precision-industry/?list=global2000
694,Seazen Group,China,$26.4 B,$1.33 B,$85.06 B,$2.86 B,https://www.forbes.com/companies/seazen-group/?list=global2000
695,Global Payments,United States,$8.52 B,$965.5 M,$45.28 B,$37.87 B,https://www.forbes.com/companies/global-payments/?list=global2000
696,China Energy Engineering,China,$49.75 B,$1.01 B,$82.98 B,$4.17 B,https://www.forbes.com/companies/china-energy-engineering/?list=global2000
697,Safran,France,$17.89 B,$50.8 M,$47.44 B,$52.26 B,https://www.forbes.com/companies/safran/?list=global2000
698,S&P Global,United States,$8.3 B,$3.02 B,$15.03 B,$131.75 B,https://www.forbes.com/companies/sp-global/?list=global2000
699,Huntington Bank,United States,$6.42 B,$1.22 B,$176.86 B,$19.88 B,https://www.forbes.com/companies/huntington-bank/?list=global2000
700,Arch Capital Group,Bermuda,$8.88 B,$2.14 B,$37.49 B,$17.86 B,https://www.forbes.com/companies/arch-capital-group/?list=global2000
701,Jackson Financial,United States,$8.85 B,$3.44 B,$375.48 B,$3.93 B,https://www.forbes.com/companies/jackson-financial/?list=global2000
702,Bank Leumi,Israel,$5.82 B,$1.87 B,$210.92 B,$15.87 B,https://www.forbes.com/companies/bank-leumi/?list=global2000
703,Trane Technologies,Ireland,$14.14 B,$1.42 B,$18.06 B,$34.77 B,https://www.forbes.com/companies/trane-technologies/?list=global2000
703,Veolia Environnement,France,$33.7 B,$477.9 M,$60.36 B,$21.2 B,https://www.forbes.com/companies/veolia-environnement/?list=global2000
705,O'Reilly Automotive,United States,$13.33 B,$2.16 B,$12.39 B,$46.92 B,https://www.forbes.com/companies/oreilly-automotive/?list=global2000
706,Biogen,United States,$10.35 B,$1.56 B,$23.88 B,$30.86 B,https://www.forbes.com/companies/biogen-idec/?list=global2000
707,Publicis Groupe,France,$13.87 B,$1.21 B,$37.35 B,$15.81 B,https://www.forbes.com/companies/publicis-groupe/?list=global2000
708,Hanwha,South Korea,$46.14 B,$786.8 M,$170.24 B,$1.7 B,https://www.forbes.com/companies/hanwha/?list=global2000
709,The Mosaic Company,United States,$12.36 B,$1.63 B,$22.04 B,$24.17 B,https://www.forbes.com/companies/mosaic/?list=global2000
710,Bharti Airtel,India,$14.98 B,$406.6 M,$48.72 B,$56.8 B,https://www.forbes.com/companies/bharti-airtel/?list=global2000
711,Daqin Railway,China,$11.83 B,$1.88 B,$29.96 B,$16.04 B,https://www.forbes.com/companies/daqin-railway/?list=global2000
712,Uber,United States,$17.45 B,$-496 M,$38.77 B,$60.27 B,https://www.forbes.com/companies/uber/?list=global2000
713,STMicroelectronics,Switzerland,$12.78 B,$2.01 B,$15.54 B,$34.46 B,https://www.forbes.com/companies/stmicroelectronics/?list=global2000
714,Gemdale,China,$14.32 B,$1.34 B,$71.52 B,$9.58 B,https://www.forbes.com/companies/gemdale/?list=global2000
715,Ageas,Belgium,$14.42 B,$999.1 M,$125.48 B,$9.71 B,https://www.forbes.com/companies/ageas/?list=global2000
716,Quanta Computer,Taiwan,$40.44 B,$1.2 B,$25.94 B,$11.13 B,https://www.forbes.com/companies/quanta-computer/?list=global2000
717,George Weston,Canada,$43.37 B,$596.6 M,$37.27 B,$18.04 B,https://www.forbes.com/companies/george-weston/?list=global2000
717,Weyerhaeuser,United States,$10.2 B,$2.61 B,$17.65 B,$31.02 B,https://www.forbes.com/companies/weyerhaeuser/?list=global2000
719,Korea Electric Power,South Korea,$52.9 B,$-4.64 B,$177.59 B,$11.11 B,https://www.forbes.com/companies/korea-electric-power/?list=global2000
720,Fox,United States,$13.59 B,$1.44 B,$22.88 B,$21.51 B,https://www.forbes.com/companies/fox/?list=global2000
721,Mitsubishi Heavy Industries,Japan,$34.06 B,$795.1 M,$44.43 B,$11.58 B,https://www.forbes.com/companies/mitsubishi-heavy-industries/?list=global2000
722,Steel Dynamics,United States,$20.43 B,$3.89 B,$13.06 B,$16.98 B,https://www.forbes.com/companies/steel-dynamics/?list=global2000
723,Keyence,Japan,$6.43 B,$2.58 B,$19.06 B,$100.89 B,https://www.forbes.com/companies/keyence/?list=global2000
724,Longi Green Energy Technology,China,$11.76 B,$1.5 B,$16.05 B,$51.73 B,https://www.forbes.com/companies/longi-green-energy-technology/?list=global2000
725,Reckitt Benckiser Group,United Kingdom,$18.2 B,$-44 M,$36.5 B,$56.35 B,https://www.forbes.com/companies/reckitt-benckiser-group/?list=global2000
726,Coal India,India,$14.03 B,$2.06 B,$22.3 B,$16.3 B,https://www.forbes.com/companies/coal-india/?list=global2000
727,Aisin Seiki,Japan,$35.4 B,$1.51 B,$34.91 B,$8.21 B,https://www.forbes.com/companies/aisin-seiki/?list=global2000
727,Digital Realty Trust,United States,$4.77 B,$2.05 B,$36.37 B,$42.6 B,https://www.forbes.com/companies/digital-realty-trust/?list=global2000
729,Tata Motors,India,$39.04 B,$-2.44 B,$42.32 B,$22.12 B,https://www.forbes.com/companies/tata-motors/?list=global2000
730,Resona Holdings,Japan,$7.46 B,$1.4 B,$662.22 B,$10.54 B,https://www.forbes.com/companies/resona-holdings/?list=global2000
730,Simon Property Group,United States,$5.12 B,$2.25 B,$33.78 B,$41.33 B,https://www.forbes.com/companies/simon-property-group/?list=global2000
732,Industrial Bank of Korea,South Korea,$9.44 B,$2.11 B,$334.87 B,$6.97 B,https://www.forbes.com/companies/industrial-bank-of-korea/?list=global2000
733,CLP Holdings,Hong Kong,$10.8 B,$1.09 B,$30.76 B,$24.76 B,https://www.forbes.com/companies/clp-holdings/?list=global2000
733,National Bank of Kuwait,Kuwait,$3.82 B,$1.22 B,$110.92 B,$25.78 B,https://www.forbes.com/companies/national-bank-of-kuwait/?list=global2000
735,SingTel,Singapore,$11.84 B,$776.7 M,$34.99 B,$32.06 B,https://www.forbes.com/companies/singtel/?list=global2000
736,Coinbase,United States,$7.84 B,$3.15 B,$21.27 B,$28.64 B,https://www.forbes.com/companies/coinbase/?list=global2000
737,CenterPoint Energy,United States,$8.35 B,$1.49 B,$38.48 B,$20.04 B,https://www.forbes.com/companies/centerpoint-energy/?list=global2000
738,Saudi Arabian Mining,Saudi Arabia,$7.14 B,$1.39 B,$27.52 B,$44.95 B,https://www.forbes.com/companies/saudi-arabian-mining/?list=global2000
739,China Cinda Asset Management,China,$10.29 B,$1.87 B,$245.44 B,$6.47 B,https://www.forbes.com/companies/china-cinda-asset-management/?list=global2000
740,Asahi Kasei,Japan,$21.79 B,$1.28 B,$28.14 B,$11.72 B,https://www.forbes.com/companies/asahi-kasei/?list=global2000
741,NEC,Japan,$27.72 B,$1.09 B,$30.64 B,$10.9 B,https://www.forbes.com/companies/nec/?list=global2000
742,United Airlines Holdings,United States,$28.98 B,$-1.98 B,$69.04 B,$16.81 B,https://www.forbes.com/companies/united-airlines-holdings/?list=global2000
743,MGM Resorts,United States,$9.68 B,$1.18 B,$44.09 B,$17.88 B,https://www.forbes.com/companies/mgm-resorts/?list=global2000
744,DSM,Netherlands,$10.88 B,$1.98 B,$18.21 B,$28.7 B,https://www.forbes.com/companies/dsm/?list=global2000
745,Telkom Indonesia,Indonesia,$10.02 B,$1.73 B,$19.45 B,$31.88 B,https://www.forbes.com/companies/telkom-indonesia/?list=global2000
746,PKN Orlen,Poland,$34.07 B,$2.63 B,$26.24 B,$7.55 B,https://www.forbes.com/companies/pkn-orlen/?list=global2000
747,Guotai Junan Securities,China,$6.7 B,$2.02 B,$113.57 B,$11.51 B,https://www.forbes.com/companies/guotai-junan-securities/?list=global2000
748,Norsk Hydro,Norway,$16.89 B,$1.4 B,$19.79 B,$19.14 B,https://www.forbes.com/companies/norsk-hydro/?list=global2000
749,Formosa Plastics,Taiwan,$9.79 B,$2.55 B,$19.65 B,$23.28 B,https://www.forbes.com/companies/formosa-plastics/?list=global2000
750,NRG Energy,United States,$26.9 B,$2.19 B,$23.18 B,$9.18 B,https://www.forbes.com/companies/nrg-energy/?list=global2000
751,Public Bank,Malaysia,$4.51 B,$1.36 B,$111.08 B,$21.18 B,https://www.forbes.com/companies/public-bank/?list=global2000
752,TCL,China,$25.27 B,$930.5 M,$48.59 B,$9.67 B,https://www.forbes.com/companies/tcl/?list=global2000
